time,userid,id,lat,lng
Fri Feb 01 13:46:08 +0000 2019,34936522,1091331870753804288,40.12,-83.13
Fri Feb 01 11:23:15 +0000 2019,34936522,1091295913971200000,40.12,-83.13
Tue Feb 05 10:59:24 +0000 2019,284531638,1092739463271178240,40.07754414,-82.97386084
Mon Feb 04 11:47:29 +0000 2019,284531638,1092389175079272449,40.07754414,-82.97386084
Wed Feb 06 19:58:55 +0000 2019,22454456,1093237622292398080,40.1459747,-83.0919154
Wed Feb 06 15:52:55 +0000 2019,21195970,1093175715774644225,40.1459747,-83.0919154
Sun Feb 03 15:29:10 +0000 2019,22454456,1092082573587623937,40.1459747,-83.0919154
Tue Feb 05 23:26:01 +0000 2019,930775286,1092927354010329089,40.03744,-82.96249
Tue Feb 05 22:45:16 +0000 2019,930775286,1092917097020211200,40.03744,-82.96249
Mon Feb 04 23:54:51 +0000 2019,930775286,1092572223796318209,40.02731,-82.95999
Mon Feb 04 23:02:18 +0000 2019,930775286,1092558997746528257,40.02731,-82.95999
Mon Feb 04 20:42:19 +0000 2019,930775286,1092523768608710657,40.02274,-82.96474
Mon Feb 04 19:08:08 +0000 2019,930775286,1092500067708297218,40.02274,-82.96474
Fri Feb 01 15:35:53 +0000 2019,21195970,1091359488341291014,40.0308629,-82.9634718
Sun Feb 10 19:44:30 +0000 2019,2830733874,1094683548508925953,40.12807979,-82.93683689
Sun Feb 10 17:59:22 +0000 2019,320514625,1094657091032227843,40.12807979,-82.93683689
Sun Feb 10 02:43:11 +0000 2019,23838037,1094426524734902272,40.13006655,-82.93741728
Sat Feb 09 19:34:39 +0000 2019,23838037,1094318678324203521,40.12807979,-82.93683689
Fri Feb 08 21:08:58 +0000 2019,24208601,1093980027878666240,40.12286,-82.94285
Fri Feb 08 21:08:50 +0000 2019,24208601,1093979994005467136,40.12286,-82.94285
Fri Feb 08 21:08:42 +0000 2019,24208601,1093979961239658496,40.12286,-82.94285
Fri Feb 08 21:08:36 +0000 2019,24208601,1093979933821423616,40.12286,-82.94285
Fri Feb 08 21:08:23 +0000 2019,24208601,1093979879777988608,40.12286,-82.94285
Wed Feb 06 20:45:52 +0000 2019,53732938,1093249440775790592,40.12807979,-82.93683689
Tue Feb 05 15:06:57 +0000 2019,23838037,1092801761990066187,40.13006655,-82.93741728
Sat Feb 02 22:10:04 +0000 2019,1113466850,1091821076814786561,40.12807979,-82.93683689
Tue Feb 05 15:27:24 +0000 2019,23473569,1092806906488463361,39.9203778,-82.8301142
Mon Feb 04 14:20:38 +0000 2019,28457303,1092427714454204417,39.9203778,-82.8301142
Sat Feb 02 14:35:17 +0000 2019,53079714,1091706627529605120,39.92845626,-82.83468666
Sat Feb 02 13:37:48 +0000 2019,818597386176069633,1091692160099864577,39.9278896,-82.829064
Tue Feb 05 15:27:24 +0000 2019,23473569,1092806906488463361,39.9203778,-82.8301142
Mon Feb 04 14:20:38 +0000 2019,28457303,1092427714454204417,39.9203778,-82.8301142
Sun Feb 10 21:30:56 +0000 2019,22976404,1094710330830143488,40.1261743,-82.9290696
Sun Feb 10 20:47:37 +0000 2019,422285341,1094699430127628289,40.12507,-82.93167
Sun Feb 10 19:46:03 +0000 2019,581403546,1094683937966673920,40.12577,-82.93154
Sun Feb 10 19:44:30 +0000 2019,2830733874,1094683548508925953,40.12807979,-82.93683689
Sun Feb 10 17:59:22 +0000 2019,320514625,1094657091032227843,40.12807979,-82.93683689
Sun Feb 10 15:15:09 +0000 2019,173559634,1094615761484537856,40.1261743,-82.9290696
Sun Feb 10 11:19:25 +0000 2019,163944651,1094556438255435776,40.12577,-82.93154
Sat Feb 09 20:32:26 +0000 2019,19536182,1094333219925676032,40.12577,-82.93154
Sat Feb 09 19:34:39 +0000 2019,23838037,1094318678324203521,40.12807979,-82.93683689
Fri Feb 08 22:27:50 +0000 2019,378825404,1093999875794989057,40.127,-82.93216
Fri Feb 08 18:35:10 +0000 2019,23320531,1093941321717272576,40.1261743,-82.9290696
Fri Feb 08 18:12:19 +0000 2019,581403546,1093935573780197377,40.12577,-82.93154
Fri Feb 08 14:13:39 +0000 2019,1011811424,1093875510684209152,40.1261743,-82.9290696
Thu Feb 07 22:54:40 +0000 2019,29475976,1093644241648025600,40.12329,-82.93044
Thu Feb 07 20:12:44 +0000 2019,581403546,1093603488985079808,40.12577,-82.93154
Wed Feb 06 20:45:52 +0000 2019,53732938,1093249440775790592,40.12807979,-82.93683689
Wed Feb 06 18:59:54 +0000 2019,21800642,1093222773487394818,40.1261743,-82.9290696
Wed Feb 06 18:00:56 +0000 2019,21195790,1093207933591015426,40.1261743,-82.9290696
Wed Feb 06 12:29:40 +0000 2019,581403546,1093124567038447616,40.12603247,-82.93185745
Tue Feb 05 10:42:07 +0000 2019,581403546,1092735111311839237,40.12577,-82.93154
Tue Feb 05 01:57:10 +0000 2019,3593307856,1092603003863875584,40.12577,-82.93154
Mon Feb 04 22:27:18 +0000 2019,23320531,1092550188424548352,40.1261743,-82.9290696
Mon Feb 04 18:17:45 +0000 2019,369134529,1092487389392433152,40.12577,-82.93154
Mon Feb 04 17:49:24 +0000 2019,21195790,1092480254252175361,40.1261743,-82.9290696
Mon Feb 04 02:37:46 +0000 2019,65524998,1092250834585317377,40.12577,-82.93154
Mon Feb 04 02:37:09 +0000 2019,581157052,1092250677907058688,40.11833739,-82.9242288
Mon Feb 04 01:50:32 +0000 2019,2417898258,1092238947764367365,40.12577,-82.93154
Sun Feb 03 21:17:19 +0000 2019,195912782,1092170189028892673,40.12577,-82.93154
Sun Feb 03 17:57:19 +0000 2019,22976404,1092119856780963842,40.1261743,-82.9290696
Sun Feb 03 16:12:14 +0000 2019,625162940,1092093412243836930,40.12577,-82.93154
Sat Feb 02 22:10:04 +0000 2019,1113466850,1091821076814786561,40.12807979,-82.93683689
Sat Feb 02 17:59:34 +0000 2019,22149548,1091758038703210496,40.1261743,-82.9290696
